0,0,1,0,1
1,4,5,-3,5
2,7,5,-7,5
3,3,5,-4,5
4,7,5,1,5
5,3,5,4,5
6,6,5,0,1
7,2,1,-3,5
8,11,5,-4,5
9,7,5,-1,5
10,4,5,3,5
11,8,5,0,1
12,11,5,4,5
13,7,5,7,5
14,14,5,0,1
15,2,1,3,5
16,11,5,9,5
17,7,5,12,5
18,7,5,6,5
19,3,5,9,5
20,4,5,2,5
21,8,5,1,1
22,4,5,8,5
23,0,1,1,1
24,11,5,1,5
25,7,5,4,5
26,7,5,-2,5
27,3,5,1,5
28,14,5,1,1
29,2,1,2,5
30,2,1,8,5
31,6,5,1,1
32,11,5,7,5
33,11,5,2,5
34,14,5,11,5
35,14,5,6,5
36,18,5,3,5
37,18,5,8,5
38,3,1,-1,5
39,3,1,4,5
40,12,5,3,5
41,12,5,8,5
42,8,5,11,5
43,8,5,6,5
44,11,5,3,1
45,11,5,2,1
46,3,1,7,5
47,3,1,12,5
48,7,5,3,5
49,3,5,6,5
50,2,1,7,5
51,6,5,2,1
52,11,5,6,5
53,7,5,9,5
54,14,5,2,1
55,2,1,13,5
56,11,5,14,5
57,7,5,11,5
58,7,5,17,5
59,3,5,14,5
60,4,5,7,5
61,8,5,2,1
62,4,5,13,5
63,0,1,2,1
64,11,5,12,5
65,14,5,16,5
66,18,5,13,5
67,3,1,9,5
68,12,5,13,5
69,8,5,16,5
70,11,5,4,1
71,3,1,17,5
72,7,5,13,5
73,7,5,8,5
74,3,5,11,5
75,3,5,16,5
76,11,5,1,1
77,8,5,1,5
78,12,5,-2,5
79,3,1,2,5
80,11,5,0,1
81,8,5,-4,5
82,12,5,-7,5
83,3,1,-3,5
84,8,5,4,5
85,12,5,7,5
86,3,1,3,5
87,12,5,1,5
88,9,5,-3,5
89,1,1,0,1
90,9,5,3,5
91,12,5,-1,5
92,9,5,2,5
93,12,5,6,5
94,8,5,9,5
95,1,1,1,1
96,9,5,7,5
97,12,5,11,5
98,8,5,14,5
99,1,1,2,1
100,9,5,8,5
101,12,5,12,5
102,12,5,4,5
103,3,1,8,5
104,11,5,11,5
105,7,5,14,5
106,9,5,13,5
107,12,5,17,5
108,12,5,9,5
109,3,1,13,5
110,11,5,16,5
111,7,5,19,5
112,13,5,11,5
113,13,5,6,5
114,16,5,2,1
115,19,5,6,5
116,16,5,2,5
117,16,5,7,5
118,19,5,11,5
119,16,5,3,1
120,2,1,2,1
121,6,5,7,5
122,6,5,12,5
123,2,1,3,1
124,2,1,9,5
125,6,5,6,5
126,2,5,9,5
127,2,5,4,5
128,6,5,11,5
