28723, 115162, 1.135273287305860
132827, 761410, 1.148016753035702
355923, 2868800, 1.163265373393219
468589, 4394216, 1.171420375904611
545177, 5417236, 1.173840095350716
627157, 6536036, 1.175586008821853
711153, 7702956, 1.176811501110735
805877, 9039876, 1.177759217322575
904241, 10447776, 1.178423262409924
1011813, 12005564, 1.178894983698837
1130829, 13748396, 1.179214267064312
1246501, 15458648, 1.179385501061232
1367717, 17265668, 1.179463463905359
1507069, 19359456, 1.179465218433798
1644537, 21439688, 1.179402667513741
1786885, 23606500, 1.179289455920180
1931137, 25815712, 1.179144846871885
2082785, 28149880, 1.178967517017036
2239557, 30574164, 1.178765903758057
2411001, 33237700, 1.178533113814161
